Frame,Object ID,x1,x2,y1,y2,type,category,CBR_MUST,CBR_MAY,drivers_MUST,drivers_MAY
101.0,pedestrian_1,2890.0,2960.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
102.0,pedestrian_1,2890.0,2960.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
103.0,pedestrian_1,2890.0,2960.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
104.0,pedestrian_1,2890.0,2960.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
105.0,pedestrian_1,2890.0,2965.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
106.0,pedestrian_1,2890.0,2965.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
107.0,pedestrian_1,2890.0,2965.0,595.0,675.0,must,1.0,1.0,1.0,1.0,1.0
108.0,pedestrian_1,2890.0,2965.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
109.0,pedestrian_1,2890.0,2965.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
110.0,pedestrian_1,2890.0,2965.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
111.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
112.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
113.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
114.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
115.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
116.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
117.0,pedestrian_1,2890.0,2970.0,595.0,680.0,must,1.0,1.0,1.0,1.0,1.0
118.0,pedestrian_1,2890.0,2970.0,600.0,685.0,must,1.0,1.0,1.0,1.0,1.0
119.0,pedestrian_1,2890.0,2970.0,600.0,685.0,must,1.0,1.0,1.0,1.0,1.0
120.0,pedestrian_1,2890.0,2970.0,600.0,685.0,must,1.0,1.0,1.0,1.0,1.0
121.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
122.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
123.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
124.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
125.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
126.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
127.0,pedestrian_1,2885.0,2965.0,600.0,680.0,must,1.0,1.0,1.0,1.0,1.0
128.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
129.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
130.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
131.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
132.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
133.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
134.0,pedestrian_1,2885.0,2960.0,605.0,685.0,must,1.0,1.0,1.0,1.0,1.0
135.0,pedestrian_1,2880.0,2955.0,605.0,680.0,must,1.0,1.0,1.0,1.0,1.0
136.0,pedestrian_1,2880.0,2955.0,605.0,680.0,must,1.0,1.0,1.0,1.0,1.0
